o_zone_id,d_zone_id,path_id,link_ids,fftt_cost
10036,10013,3,414;326;290;254;250;246;212;206;202;198;194;160;124;118;84;78;74;369,32.994583
10036,10013,4,414;342;324;318;314;280;274;240;204;198;194;190;186;152;116;80;74;369,33.02277
10036,10013,5,414;326;322;288;252;216;210;206;202;198;162;158;154;150;146;112;76;369,33.029835
10036,10013,6,414;342;340;320;284;278;244;208;202;198;194;190;156;120;114;110;76;369,33.046374
10036,10013,7,414;342;324;288;252;216;210;174;168;164;165;198;194;190;156;120;114;80;74;369,36.978372
10036,10013,8,414;326;322;318;314;310;276;240;204;198;199;232;228;224;220;184;148;112;76;369,36.988566
10036,10034,1,414;342;340;411,5.02432
10036,10011,1,414;326;290;286;282;248;242;238;204;198;194;160;124;118;84;78;44;38;365,34.89374
10036,10011,2,414;342;324;318;314;280;274;240;204;198;162;126;122;88;52;46;42;38;365,34.972754
10036,10011,3,414;342;340;338;316;280;244;238;204;198;162;126;122;88;82;78;44;38;365,34.990716
10036,10011,4,414;326;322;288;252;216;210;206;202;198;162;158;154;150;146;112;76;40;365,35.010435
10036,10011,5,414;342;340;320;284;278;244;208;202;198;162;126;90;86;82;48;42;38;365,35.101414
10036,10011,6,414;326;322;318;314;310;276;240;204;198;199;232;228;224;220;184;148;112;76;40;365,38.969166
10036,10011,7,414;326;290;254;250;246;212;206;202;198;162;126;90;54;50;16;10;6;2;3;365,39.088007
10036,10011,8,414;342;324;288;252;216;210;174;168;164;165;198;162;158;124;88;52;46;12;6;2;3;365,43.027184
10036,10022,1,414;326;290;254;387,6.999127
10036,10022,2,414;342;324;288;252;249;387,11.044113
10036,10032,1,414;342;340;338;336;407,9.049629
10036,10030,1,414;326;290;286;282;248;242;238;204;198;194;195;233;269;305;403,28.974239
10036,10030,2,414;342;324;318;314;280;274;240;204;198;199;232;233;269;305;403,29.052926
10036,10030,3,414;326;322;288;252;216;210;206;202;198;199;235;271;307;334;403,29.054473
10036,10030,4,414;326;322;318;314;310;276;240;204;198;199;235;271;304;305;403,29.071169
10036,10030,5,414;342;340;338;316;280;244;238;204;198;199;235;268;269;305;403,29.081296
10036,10030,6,414;342;340;320;284;278;244;208;202;198;199;235;271;307;334;403,29.119521
10036,10030,7,414;326;290;254;250;246;212;206;202;198;194;195;228;229;265;301;331;403,33.021412
10036,10030,8,414;342;324;288;252;216;210;174;168;164;165;198;194;190;191;229;265;301;331;403,37.016786
10036,10015,1,414;326;290;286;282;248;242;238;204;198;194;160;124;118;114;110;373,30.939529
10036,10015,2,414;342;340;338;316;280;244;238;204;198;194;160;154;150;116;110;373,31.001026
10036,10015,3,414;326;290;254;250;246;212;206;202;198;194;160;154;150;116;110;373,31.02168
10036,10015,4,414;342;324;318;314;280;274;240;204;198;194;190;186;182;148;112;373,31.02194
10036,10015,5,414;326;322;288;252;216;210;206;202;198;162;158;154;150;146;112;373,31.040648
10036,10015,6,414;342;340;320;284;278;244;208;202;198;194;190;156;120;114;110;373,31.057187
10036,10015,7,414;326;322;318;314;310;276;240;204;198;199;232;228;224;220;184;148;112;373,34.999379
10036,10015,8,414;342;324;288;252;216;210;174;168;164;165;198;194;190;186;152;146;112;373,35.044662
10036,10016,1,414;326;290;254;218;180;144;375,12.978124
10036,10016,2,414;326;322;288;252;216;178;142;139;375,16.995208
10036,10016,3,414;342;324;288;252;216;178;175;144;375,17.009266
10006,10017,1,354;21;57;93;129;165;198;194;160;154;150;146;377,22.983119
10006,10017,2,354;21;57;93;129;165;198;194;190;186;182;148;377,23.006367
10006,10017,3,354;21;57;93;129;165;198;162;158;154;150;146;377,23.02388
10006,10017,4,354;21;57;93;129;165;198;199;232;228;224;220;184;148;377,26.9789
10006,10017,5,354;19;25;61;97;133;169;202;198;194;190;186;182;148;377,27.025864
10006,10017,6,354;21;55;61;97;133;169;202;198;162;158;154;150;146;377,27.040127
10006,10017,7,354;19;25;61;97;133;169;202;198;162;126;122;88;82;78;74;75;111;377,34.973696
10006,10022,1,354;19;23;29;65;101;135;139;143;179;217;387,20.884987
10006,10022,2,354;21;57;91;95;101;137;173;209;213;217;387,20.966069
10006,10022,3,354;19;23;27;31;35;71;107;143;179;217;387,20.977141
10006,10022,4,354;19;23;27;33;69;105;141;175;179;217;387,20.987366
10006,10022,5,354;21;55;59;65;101;137;173;211;245;249;387,21.007872
10006,10022,6,354;21;55;59;63;69;105;141;177;213;217;387,21.015772
10006,10022,7,354;19;25;61;97;133;169;207;241;245;249;387,21.045139
10006,10022,8,354;19;25;61;95;99;105;141;177;215;249;387,21.064426
10006,10027,1,354;21;57;93;129;165;198;194;195;233;264;260;256;257;293;397,28.93532
10006,10027,2,354;21;57;93;129;165;198;199;232;228;224;220;221;257;293;397,28.978781
10006,10027,3,354;21;57;93;129;165;198;199;232;228;229;265;301;330;328;397,28.997899
10006,10027,4,354;21;57;93;129;165;198;194;190;191;224;225;261;297;328;397,29.013101
10006,10027,5,354;21;57;93;129;165;198;199;235;271;304;305;332;330;328;397,29.047591
10006,10027,6,354;19;25;61;97;133;169;202;198;194;195;233;264;265;296;292;293;397,32.964829
10006,10027,7,354;21;55;61;97;133;169;202;198;199;235;268;269;300;296;292;293;397,33.022875
10006,10027,8,354;19;25;61;97;133;169;202;198;199;235;271;307;334;332;330;328;397,33.054103
10006,10018,1,354;19;23;29;65;101;135;139;143;379,16.896782
10006,10018,2,354;21;55;59;63;69;103;107;143;379,16.975518
10006,10018,3,354;19;23;27;31;35;71;107;143;379,16.988936
10006,10018,4,354;19;25;61;97;133;167;171;175;379,16.99709
10006,10018,5,354;19;23;27;33;69;105;141;175;379,16.999161
10006,10018,6,354;21;55;59;63;67;71;107;143;379,17.000986
10006,10018,7,354;19;25;61;95;99;105;141;175;379,17.023887
10006,10008,1,354;19;23;359,4.967392
10006,10035,1,354;19;23;29;65;101;137;173;209;215;251;287;323;413,24.935072
10006,10035,2,354;21;57;93;129;165;203;239;275;311;335;337;339;413,25.011572
10006,10035,3,354;21;57;91;95;101;137;173;211;247;283;317;323;413,25.032039
10006,10035,4,354;19;25;61;97;133;169;207;243;277;281;287;323;413,25.032056
10006,10035,5,354;21;55;59;63;69;105;141;177;215;251;287;323;413,25.038762
10006,10035,6,354;19;25;61;97;133;169;207;243;279;315;337;339;413,25.059328
10006,10035,7,354;19;23;27;31;35;71;107;143;179;217;253;289;325;342;413,28.985396
10006,10035,8,354;19;23;27;33;69;105;141;175;179;217;253;289;325;342;413,28.995621
10006,10015,1,354;21;57;93;129;165;198;194;160;124;118;114;110;373,24.952853
10006,10015,2,354;21;57;93;129;165;198;162;158;124;118;114;110;373,24.993614
10006,10015,3,354;21;57;93;129;165;198;194;190;186;182;148;112;373,24.99967
10006,10015,4,354;21;57;93;129;165;198;162;158;154;150;146;112;373,25.017183
10006,10015,5,354;21;55;61;97;133;169;202;198;162;126;122;118;114;110;373,28.984439
10006,10015,6,354;21;57;93;129;165;198;162;126;90;86;82;78;74;75;373,29.009148
10006,10015,7,354;19;25;61;97;133;169;202;198;194;190;186;152;116;110;373,29.028063
10006,10015,8,354;19;25;61;97;133;169;202;198;162;126;122;88;82;78;74;75;373,32.980393
10006,10034,1,354;21;57;93;129;165;203;239;273;279;313;319;411,22.949062
10006,10034,2,354;21;57;93;129;165;203;239;275;311;335;337;411,22.99638
10006,10034,3,354;21;55;59;65;101;137;173;211;247;283;319;411,23.009067
10006,10034,4,354;21;57;91;95;101;137;173;211;247;283;319;411,23.019229
10006,10034,5,354;19;25;61;97;133;169;207;243;279;315;337;411,23.044136
10006,10034,6,354;19;23;27;33;69;105;141;177;210;211;247;283;319;411,27.047195
10002,10014,1,346;7;43;77;83;117;121;125;343;166;163;134;131;135;139;108;371,29.860909
10002,10014,2,346;7;43;79;113;119;153;157;343;201;170;167;171;142;106;103;371,29.945668
10002,10014,3,346;7;41;47;81;85;89;125;343;166;163;167;171;175;144;108;371,29.961763
10002,10014,4,346;5;11;45;51;87;123;157;343;201;170;167;171;142;106;103;371,29.969489
10002,10014,5,346;5;9;15;49;53;89;125;343;166;130;127;98;95;99;103;371,30.021603
10002,10014,6,346;5;11;45;51;87;123;159;193;197;166;130;94;91;95;99;103;371,32.968994
10002,10014,7,346;5;9;13;17;53;89;125;161;197;166;163;134;131;102;99;103;371,33.040789
10002,10014,8,346;7;41;47;83;119;155;189;193;197;203;237;241;245;249;218;180;144;108;371,36.941487
10002,10015,1,346;7;43;79;110;373,8.947303
10002,10015,2,346;7;38;39;75;373,8.954713
10002,10015,3,346;2;3;39;75;373,8.970273
10002,10026,1,346;7;43;77;83;117;121;125;343;203;237;241;247;281;285;289;395,29.882584
10002,10026,2,346;5;11;45;51;87;123;157;343;203;239;273;279;313;317;321;395,29.971232
10002,10026,3,346;7;43;79;113;119;153;157;343;203;237;243;277;283;317;321;395,29.974019
10002,10026,4,346;5;9;15;49;53;89;125;343;201;207;243;277;281;287;321;395,30.016876
10002,10026,5,346;7;41;47;83;119;155;189;193;197;203;237;243;279;313;317;321;395,32.950349
10002,10026,6,346;5;11;45;51;87;123;159;193;197;201;205;211;245;251;285;289;395,33.017587
10002,10026,7,346;7;41;47;81;85;89;125;343;203;239;275;309;315;337;339;341;326;395,34.061161
10002,10026,8,346;5;9;13;17;53;89;125;161;197;203;239;275;311;335;337;339;341;326;395,37.116239
10002,10016,1,346;7;43;77;83;117;121;125;343;166;163;134;131;135;139;375,27.870118
10002,10016,2,346;7;43;79;113;119;153;157;343;201;170;167;171;175;144;375,27.935135
10002,10016,3,346;5;11;45;51;87;123;157;343;201;170;167;171;175;144;375,27.958956
10002,10016,4,346;5;9;15;49;53;89;125;343;166;130;127;131;135;139;375,27.961783
10002,10016,5,346;7;41;47;81;85;89;125;343;166;163;167;171;175;144;375,27.970972
10002,10016,6,346;5;11;45;51;87;123;159;193;197;201;205;174;138;135;139;375,30.951949
10002,10016,7,346;5;9;13;17;53;89;125;161;197;201;205;209;178;142;139;375,31.039212
10002,10016,8,346;7;41;47;83;119;155;189;193;197;203;237;241;245;249;218;180;144;375,34.950696
10002,10020,1,346;7;43;77;83;117;121;125;343;201;205;209;213;383,23.927164
10002,10020,2,346;5;11;45;51;87;123;157;343;201;205;209;213;383,24.001369
10002,10020,3,346;5;11;45;51;87;123;159;193;197;201;205;209;213;383,26.996517
10002,10020,4,346;5;9;13;17;53;89;125;161;197;201;205;209;213;383,27.069701
10002,10020,5,346;7;43;79;113;119;153;157;343;203;237;241;245;249;218;383,27.952977
10002,10020,6,346;7;41;47;81;85;89;125;343;166;163;167;171;175;179;383,27.984231
10002,10020,7,346;5;9;15;49;53;89;125;343;201;207;241;245;249;218;383,28.029048
10002,10020,8,346;7;41;47;83;119;155;189;193;197;203;237;241;245;249;218;383,30.955853
10002,10031,1,346;7;43;77;83;117;123;159;195;233;267;271;307;405,24.928188
10002,10031,2,346;7;43;79;113;119;155;189;195;233;269;305;333;405,24.984893
10002,10031,3,346;7;43;79;115;151;187;225;261;295;301;331;333;405,24.994079
10002,10031,4,346;5;11;47;83;119;155;191;229;265;299;305;333;405,25.008031
10002,10031,5,346;7;41;47;81;85;89;125;161;199;235;271;307;405,25.070476
10002,10031,6,346;5;9;13;17;53;89;125;161;199;235;271;307;405,25.086606
10002,10031,7,346;2;3;39;75;111;147;183;221;257;293;327;329;331;333;405,28.991938
10002,10031,8,346;2;3;39;75;111;147;183;221;255;259;263;269;303;307;405,29.013378
10002,10012,1,346;7;43;77;83;117;121;125;343;166;163;134;131;135;139;108;72;367,31.869221
10002,10012,2,346;7;41;47;81;85;89;125;343;166;163;167;171;175;144;108;72;367,31.970075
10002,10012,3,346;5;11;45;51;87;123;157;343;201;170;167;138;102;66;63;67;367,32.003678
10002,10012,4,346;5;9;15;49;53;89;125;343;166;130;127;98;95;99;70;67;367,32.078415
10002,10012,5,346;5;11;45;51;87;123;159;193;197;166;130;94;91;95;66;63;67;367,34.976184
10002,10012,6,346;5;9;13;17;53;89;125;161;197;166;163;134;131;102;66;63;67;367,35.047979
10002,10012,7,346;7;43;79;113;119;153;157;343;201;170;167;171;142;106;70;34;31;35;367,36.025075
10002,10012,8,346;7;41;47;83;119;155;189;193;197;203;237;241;245;249;218;180;144;108;72;367,38.949799
10002,10008,1,346;7;43;77;83;117;121;125;343;166;130;94;58;22;19;23;359,29.866212
10002,10008,2,346;7;43;79;113;119;153;157;343;166;130;94;58;55;26;23;359,29.953846
10002,10008,3,346;5;11;45;51;87;123;157;343;201;170;167;138;102;66;30;359,29.967154
10002,10008,4,346;5;9;15;49;53;89;125;343;166;130;127;98;62;59;30;359,29.99122
10002,10008,5,346;7;41;47;81;85;89;125;343;166;163;134;98;62;26;23;359,30.0044
10002,10008,6,346;5;11;45;51;87;123;159;193;197;166;130;94;91;95;66;30;359,32.93966
10002,10008,7,346;5;9;13;17;53;89;125;161;197;166;163;134;131;102;66;30;359,33.011455
10002,10008,8,346;7;41;47;83;119;155;189;193;197;203;237;208;170;134;98;62;26;23;359,36.969418
10010,10009,1,362;32;361,3.019288
10010,10036,1,362;35;71;107;143;179;217;253;289;325;415,18.98185
10010,10036,2,362;32;33;69;105;141;177;215;251;287;321;325;415,23.073432
10010,10036,3,362;35;68;69;105;141;177;215;251;287;323;341;415,23.081234
10010,10036,4,362;32;28;29;65;101;137;173;211;247;281;287;323;341;415,27.0136
10010,10033,1,362;35;71;107;143;176;177;215;251;282;278;279;315;409,24.928871
10010,10033,2,362;35;71;107;143;179;217;253;289;322;318;314;315;409,24.993136
10010,10033,3,362;32;28;29;65;101;137;173;211;242;243;279;315;409,25.007695
10010,10033,4,362;32;28;29;65;101;137;173;211;247;283;319;338;409,25.044609
10010,10033,5,362;32;33;64;60;61;97;133;169;207;243;279;315;409,25.064414
10010,10033,6,362;35;68;69;100;101;137;173;211;247;283;319;338;409,25.108352
10010,10033,7,362;35;71;104;105;141;172;168;169;202;203;239;275;311;335;409,28.986046
10010,10033,8,362;32;33;64;65;96;97;133;169;207;238;239;275;311;335;409,29.059999
10010,10024,1,362;35;71;107;143;179;217;253;391,14.973491
10010,10024,2,362;32;33;69;103;107;143;179;217;253;391,19.001184
10010,10024,3,362;32;28;29;65;101;137;173;211;247;281;285;391,22.982379
10010,10028,1,362;35;71;107;140;136;132;133;164;165;198;194;195;233;264;265;301;330;399,34.916228
10010,10028,2,362;32;28;24;20;21;57;93;129;165;198;194;195;233;264;260;261;297;399,34.954997
10010,10028,3,362;32;28;29;65;101;137;173;206;202;198;199;232;228;224;225;261;297;399,35.019598
10010,10028,4,362;32;33;64;60;61;92;93;129;165;198;194;190;191;229;265;296;297;399,35.031535
10010,10028,5,362;32;33;64;65;96;97;128;129;165;198;194;190;191;229;260;261;297;399,35.069126
10010,10028,6,362;35;71;104;105;141;172;168;169;202;198;194;190;186;187;220;221;257;293;327;399,39.004802
10010,10028,7,362;32;28;24;25;56;57;93;129;165;198;199;232;228;224;220;221;257;293;327;399,39.015447
10010,10028,8,362;35;71;107;143;179;214;210;206;202;198;199;232;228;224;225;256;257;293;327;399,39.016648
10010,10030,1,362;35;71;107;140;136;132;133;164;165;198;194;195;233;269;305;403,30.962587
10010,10030,2,362;32;28;24;20;21;57;93;129;165;198;194;195;233;269;305;403,30.981981
10010,10030,3,362;35;71;104;105;141;172;168;169;202;198;199;235;271;307;334;403,31.040407
10010,10030,4,362;32;28;29;65;101;137;173;206;202;198;199;235;271;307;334;403,31.04061
10010,10030,5,362;32;33;64;65;96;97;128;129;165;198;194;195;233;269;305;403,31.046306
10010,10030,6,362;35;71;107;143;179;214;210;206;202;198;199;235;271;307;334;403,31.057921
10010,10030,7,362;32;33;64;60;61;92;93;129;165;198;199;235;268;269;305;403,31.063294
10010,10030,8,362;32;28;24;25;56;57;93;129;165;198;199;235;271;304;305;403,31.075661
10010,10029,1,362;35;71;107;140;136;132;133;164;165;198;194;195;233;264;265;301;401,32.920935
10010,10029,2,362;32;28;24;20;21;57;93;129;165;198;194;195;233;269;305;332;401,32.985288
10010,10029,3,362;32;33;64;60;61;92;93;129;165;198;194;190;191;229;265;301;401,33.020649
10010,10029,4,362;32;28;24;25;56;57;93;129;165;198;199;232;233;264;265;301;401,33.020672
10010,10029,5,362;35;71;104;105;141;172;168;169;202;198;199;235;271;304;300;301;401,33.022239
10010,10029,6,362;35;71;107;143;179;214;210;206;202;198;199;232;228;229;265;301;401,33.024521
10010,10029,7,362;32;28;29;65;101;137;173;206;202;198;199;235;271;307;334;332;401,33.043917
10010,10029,8,362;32;33;64;65;96;97;128;129;165;198;194;195;233;269;305;332;401,33.049613
10010,10002,1,362;35;71;107;140;136;132;133;164;165;198;194;160;124;118;84;78;44;8;347,36.894414
10010,10002,2,362;32;33;64;60;61;92;93;129;165;198;194;190;156;150;116;80;44;8;347,36.968008
10010,10002,3,362;32;28;24;20;21;57;93;129;165;198;162;158;154;120;84;48;42;8;347,36.982606
10010,10002,4,362;32;28;29;65;101;137;173;206;202;198;162;126;122;88;52;46;12;6;347,36.993114
10010,10002,5,362;35;71;104;105;141;172;168;169;202;198;162;126;90;54;50;16;10;6;347,37.03333
10010,10002,6,362;32;33;64;65;96;97;128;129;165;198;162;126;90;86;82;48;12;6;347,37.104672
10010,10002,7,362;32;28;24;25;56;57;93;129;165;198;194;160;154;150;146;112;76;40;4;1;347,40.978363
10010,10002,8,362;35;71;107;143;179;214;210;206;202;198;162;158;124;118;114;110;76;40;4;1;347,40.9908
10020,10005,1,382;214;210;206;202;198;162;126;90;54;18;353,21.065033
10020,10005,2,382;214;210;206;202;198;162;158;124;88;52;16;13;353,25.017069
10020,10005,3,382;180;176;172;168;164;165;198;162;126;90;54;18;353,25.031602
10020,10005,4,382;217;250;246;242;238;204;198;162;126;90;54;18;353,25.040462
10020,10005,5,382;180;176;172;168;164;165;198;162;126;122;88;52;49;18;353,28.963276
10020,10005,6,382;217;250;246;242;208;202;198;199;232;196;160;124;88;52;16;13;353,33.004413
10020,10005,7,382;217;253;286;282;278;274;240;204;198;194;160;154;120;84;48;12;9;13;353,36.898164
10020,10005,8,382;217;250;246;242;238;204;198;199;235;268;264;230;192;156;120;84;48;12;9;13;353,41.0035
10020,10018,1,382;180;379,3.004051
